39|5|Лебедев Матвей Кириллович|ассистент|к.э.н.|1998|800
40|5|Попов Илья Иванович|старший преподаватель||2011|720
41|5|Павлова Наталья Максимовна|старший преподаватель|к.ф.-м.н.|2003|800
42|5|Павлов Никита Романович|старший преподаватель|к.т.н.|2013|850
43|5|Михайлов Арсений Алексеевич|доцент|д.т.н.|2023|900
44|5|Попова Алиса Дмитриевна|ассистент|к.ю.н.|2014|720
45|6|Николаева София Андреевна|ассистент|к.ф.-м.н.|2004|900
46|6|Андреева Мария Ильинична|профессор||1996|720
47|6|Макарова Полина Михайловна|ассистент||2023|720
48|6|Алексеева София Андреевна|старший преподаватель||2003|720
49|6|Михайлова Марина Александровна|профессор|д.т.н.|1995|850
50|6|Макарова Екатерина Алексеевна|старший преподаватель|к.ю.н.|2002|800
51|6|Морозов Арсений Кириллович|ассистент|д.т.н.|1995|800
52|6|Иванова Елизавета Романовна|старший преподаватель|к.э.н.|2004|720
53|6|Морозов Егор Артёмович|доцент|к.ю.н.|1998|850
54|6|Макарова Марина Алексеевна|старший преподаватель|к.т.н.|2006|720
55|7|Андреева Екатерина Александровна|доцент|д.т.н.|2001|850
56|7|Иванов Дмитрий Максимович|профессор||2018|720
57|7|Попова Наталья Михайловна|профессор|д.т.н.|2013|800
58|7|Новиков Арсений Ильич|профессор|к.э.н.|2003|900
59|7|Никитин Кирилл Максимович|доцент|д.т.н.|2011|850
60|7|Никитин Михаил Алексеевич|старший преподаватель||2011|800
61|8|Фёдорова Ксения Романовна|доцент|к.э.н.|1997|720
62|8|Попов Иван Сергеевич|старший преподаватель||1998|850
63|8|Новиков Егор Сергеевич|ассистент|д.т.н.|2024|900
64|8|Андреев Кирилл Александрович|профессор|д.т.н.|2021|800
65|8|Новиков Денис Артёмович|профессор|к.ф.-м.н.|2016|800
66|8|Морозов Кирилл Иванович|профессор|д.т.н.|1998|850
67|8|Алексеев Роман Кириллович|ассистент|к.ф.-м.н.|2006|900
68|9|Кузнецова София Кирилловна|ассистент||2009|850
69|9|Николаев Роман Дмитриевич|ассистент|к.ф.-м.н.|2019|800
70|9|Николаев Егор Алексеевич|старший преподаватель|д.т.н.|2012|720
71|9|Фёдоров Арсений Кириллович|ассистент|к.э.н.|1998|900
72|9|Попов Артём Михайлович|доцент|к.т.н.|2006|720
73|9|Смирнов Александр Артёмович|доцент|к.э.н.|2020|800
74|9|Алексеева Елизавета Ильинична|профессор||2012|800
75|9|Фёдорова Виктория Кирилловна|доцент|к.ф.-м.н.|2019|720
76|9|Фёдоров Михаил Сергеевич|старший преподаватель|к.т.н.|2008|900
77|9|Васильев Егор Сергеевич|доцент|к.т.н.|2006|720
78|9|Михайлов Арсений Кириллович|ассистент|к.ф.-м.н.|2002|720
79|10|Степанов Арсений Михайлович|профессор|д.т.н.|2018|850
80|10|Фёдорова Екатерина Андреевна|старший преподаватель|к.т.н.|2015|850
81|10|Волкова Екатерина Ивановна|старший преподаватель|к.т.н.|2014|900
82|10|Андреев Михаил Иванович|старший преподаватель|к.т.н.|2000|720
83|10|Егоров Сергей Ильич|профессор|д.т.н.|2023|800
84|10|Никитин Никита Андреевич|профессор|к.ф.-м.н.|2003|900
85|10|Васильева Полина Ивановна|доцент|д.т.н.|2005|900
86|10|Орлова Елизавета Михайловна|профессор|к.т.н.|2019|800
87|10|Никитина Алиса Сергеевна|доцент|к.ю.н.|2013|850
88|10|Степанова Ольга Романовна|доцент|к.ю.н.|2000|720
89|11|Николаев Матвей Иванович|ассистент|к.т.н.|2015|800
90|11|Семёнова София Романовна|доцент|к.ф.-м.н.|2007|900
91|11|Соколова София Алексеевна|профессор|к.ю.н.|2024|800
92|11|Козлова Ксения Дмитриевна|ассистент|к.ю.н.|2002|720
93|11|Семёнов Никита Дмитриевич|ассистент|к.ю.н.|2018|800
94|11|Алексеева Полина Андреевна|доцент||2015|720
